v1,v2
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 09061234567 to claim
ham,"I finished the project, sending you the files now"
spam,Text STOP to unsubscribe or reply YES to claim your $250 cash prize instantly !!!
spam,"Hot singles in your area are waiting to chat with you! Click www.claim-prize.com now, 100% free"
spam,Your PayPal account has unusual activity. Verify now at http://free-cash-now.info or it will be locked
ham,Reminder: Your dentist appointment is on Saturday at 11:15am
spam,Congratulations! You have WON a voucher worth $50. Claim now by clicking www.winbig-now.net
ham,Let me know if you need anything else from me for the report
spam,Your package is on hold due to unpaid customs fee of $1000. Pay now at www.claim-prize.com !!!
ham,"The weather looks great this weekend, perfect for a hike"
ham,"The flight got delayed by an hour, landing around noon"
ham,"I finished the project, sending you the files now"
ham,"I finished the project, sending you the files now"
ham,"Thanks for dinner last night, it was really nice catching up"
spam,WINNER!! As a valued network customer you have been selected to receive a $2500 prize reward
ham,"I loved the movie we watched last night, we should go again"
ham,"The weather looks great this weekend, perfect for a hike"
ham,"The flight got delayed by an hour, landing around noon"
ham,"I'll pick up the kids from school today, no need to worry"
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,Can you send me the report before 3:30pm today? Thanks!
ham,"The weather looks great this weekend, perfect for a hike"
ham,"Thanks for the birthday wishes, means a lot to me"
ham,Let me know if you need anything else from me for the report
spam,URGENT! Your account has been suspended. Verify your details immediately at bit.ly/free-gift to avoid closure
spam,You've qualified for a government grant of $500. Claim it now by calling 08000112233
ham,Just wanted to check if you got home safe
ham,"I'm running a bit late, be there in 15 minutes"
spam,Your Amazon order could not be delivered. Confirm your address at secure-verify-account.com to reschedule
ham,Don't forget to pick up milk on your way home
spam,Your package is on hold due to unpaid customs fee of $100. Pay now at secure-verify-account.com
ham,"Let's grab coffee sometime next week, I'm free after 11:15am"
ham,Let me know if you need anything else from me for the report
ham,"Hey, are we still on for lunch tomorrow at 9am?"
spam,"URGENT: We tried to contact you today, please call 08000112233 regarding your unclaimed refund of $50"
spam,"Get rich quick! Earn $100 per week working from home, no experience needed, click www.claim-prize.com"
ham,Can you call me back when you get a chance?
spam,You have an unclaimed insurance payout of $1000. Contact 09061234567 today before it expires !!!
spam,Congratulations! Your mobile number has won £1000 in the UK National Lottery. Call 08000112233 now !!!
ham,Can you call me back when you get a chance?
ham,"See you at the gym later, same time as usual?"
ham,"See you at the gym later, same time as usual?"
ham,Don't forget to pick up milk on your way home
ham,Happy birthday! Hope you have a wonderful day
spam,Text STOP to unsubscribe or reply YES to claim your $100 cash prize instantly !!!
spam,Your Netflix account is on hold. Update your payment info now at bit.ly/free-gift to keep watching
ham,"Let's grab coffee sometime next week, I'm free after 11:15am"
spam,You have been selected to receive a FREE gaming laptop! Reply YES to claim your gift now
spam,CONGRATULATIONS! YOUR MOBILE NUMBER HAS WON £100 IN THE UK NATIONAL LOTTERY. CALL 08000112233 NOW
spam,Make $50 a day trading crypto with our secret system! Sign up free at secure-verify-account.com !!!
spam,Hurry! Only a few iPhone 15 left in stock at 80% off. Order now at www.unlock-account.co !!!
ham,"Mom said dinner is ready, come down when you can"
ham,"Thanks for your help earlier, really appreciate it"
ham,"I'll pick up the kids from school today, no need to worry"
ham,"I'm running a bit late, be there in 15 minutes"
ham,"Just checking in, how did the interview go?"
spam,Text STOP to unsubscribe or reply YES to claim your $10000 cash prize instantly
spam,"HOT SINGLES IN YOUR AREA ARE WAITING TO CHAT WITH YOU! CLICK WWW.UNLOCK-ACCOUNT.CO NOW, 100% FREE"
ham,"I loved the movie we watched last night, we should go again"
spam,"Claim your FREE gaming laptop now! No purchase necessary, just click secure-verify-account.com and enter your details"
ham,Happy birthday! Hope you have a wonderful day
ham,Don't forget to pick up milk on your way home
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
spam,Congratulations! You have WON a smart watch worth $5000. Claim now by clicking bit.ly/free-gift
spam,CONGRATULATIONS! YOU'VE BEEN CHOSEN FOR A FREE CRUISE TO THE BAHAMAS. CALL 07781234567 TO CLAIM
ham,"Great job on the presentation today, the team loved it"
spam,"New message waiting! Someone has a crush on you, find out who at http://free-cash-now.info now !!!"
spam,WINNER!! As a valued network customer you have been selected to receive a $50 prize reward
spam,"URGENT: We tried to contact you today, please call 09061234567 regarding your unclaimed refund of $10000"
ham,"The weather looks great this weekend, perfect for a hike"
ham,Can we catch up this weekend? It's been a while
ham,Happy anniversary! Wishing you both many more happy years
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
spam,"DEAR CUSTOMER, YOUR BANK ACCOUNT NEEDS VERIFICATION. CLICK WWW.WINBIG-NOW.NET OR YOUR CARD WILL BE BLOCKED"
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,"Thanks for dinner last night, it was really nice catching up"
spam,"CLICK HERE TO ACTIVATE YOUR FREE SMART WATCH SUBSCRIPTION, OFFER VALID FOR 09061234567 HOURS ONLY"
ham,Your package was delivered to the front desk this morning
ham,Can you call me back when you get a chance?
spam,"New message waiting! Someone has a crush on you, find out who at www.claim-prize.com now"
ham,The meeting has been rescheduled to 9am on Tuesday
spam,LIMITED OFFER: Get 90% discount on MacBook Pro today only! Click http://free-cash-now.info before it expires
spam,"New message waiting! Someone has a crush on you, find out who at www.claim-prize.com now"
ham,Can you send me the report before 9am today? Thanks!
spam,Act now! This exclusive gaming laptop offer expires in 24 hours. Visit www.claim-prize.com for instant access
spam,Your Netflix account is on hold. Update your payment info now at www.claim-prize.com to keep watching
spam,Act now! This exclusive voucher offer expires in 24 hours. Visit www.winbig-now.net for instant access !!!
spam,"Double your money in 24 hours! Guaranteed returns, invest now at www.winbig-now.net"
ham,Just wanted to check if you got home safe
ham,Let me know if you need anything else from me for the report
ham,"Mom said dinner is ready, come down when you can"
ham,"Just checking in, how did the interview go?"
ham,Let me know if you need anything else from me for the report
spam,"Get rich quick! Earn $100 per week working from home, no experience needed, click http://free-cash-now.info !!!"
spam,You have an unclaimed insurance payout of $100. Contact 90210 today before it expires !!!
ham,"Just checking in, how did the interview go?"
spam,"FREE entry into our $100 prize draw! Text WIN to 09061234567 now, limited time offer"
ham,"Thanks for your help earlier, really appreciate it"
ham,Can you call me back when you get a chance?
ham,"I'm running a bit late, be there in 15 minutes"
spam,FINAL NOTICE: Your car warranty is about to expire. Call 90210 now to renew and save
ham,The meeting has been rescheduled to 6:45pm on Thursday
spam,Text STOP to unsubscribe or reply YES to claim your $100 cash prize instantly
spam,You've qualified for a government grant of $1000. Claim it now by calling 1900123456
ham,Are you free to talk on the phone for a few minutes?
ham,Let me know if you need anything else from me for the report
ham,Let me know if you need anything else from me for the report
ham,Can you call me back when you get a chance?
ham,"I loved the movie we watched last night, we should go again"
ham,"Let's grab coffee sometime next week, I'm free after 3:30pm"
ham,"I'll pick up the kids from school today, no need to worry"
ham,"Let's grab coffee sometime next week, I'm free after 10am"
ham,The meeting has been rescheduled to 6:45pm on Saturday
spam,Your Amazon order could not be delivered. Confirm your address at www.winbig-now.net to reschedule
ham,"Thanks for your help earlier, really appreciate it"
spam,Your Netflix account is on hold. Update your payment info now at www.unlock-account.co to keep watching
spam,Your package is on hold due to unpaid customs fee of $1000. Pay now at http://free-cash-now.info
ham,Your package was delivered to the front desk this morning
ham,"Thanks for dinner last night, it was really nice catching up"
spam,"Click here to activate your FREE voucher subscription, offer valid for 1900123456 hours only"
spam,"Hot singles in your area are waiting to chat with you! Click secure-verify-account.com now, 100% free"
spam,"Double your money in 24 hours! Guaranteed returns, invest now at www.winbig-now.net !!!"
spam,"Double your money in 24 hours! Guaranteed returns, invest now at www.winbig-now.net !!!"
ham,Reminder: Your dentist appointment is on Saturday at 9am
spam,You've qualified for a government grant of $500. Claim it now by calling 08000112233
spam,Congratulations! Your mobile number has won £1000 in the UK National Lottery. Call 08000112233 now
ham,"Just checking in, how did the interview go?"
spam,Your Amazon order could not be delivered. Confirm your address at http://free-cash-now.info to reschedule
ham,"The flight got delayed by an hour, landing around 6:45pm"
spam,Your package is on hold due to unpaid customs fee of $250. Pay now at secure-verify-account.com
ham,"Thanks for the birthday wishes, means a lot to me"
spam,WINNER!! As a valued network customer you have been selected to receive a $5000 prize reward
ham,"I'm running a bit late, be there in 15 minutes"
spam,You have been selected to receive a FREE PlayStation 5! Reply YES to claim your gift now
ham,The meeting has been rescheduled to noon on Tuesday
ham,"The flight got delayed by an hour, landing around 2pm"
spam,LIMITED OFFER: Get 90% discount on gaming laptop today only! Click www.winbig-now.net before it expires !!!
spam,Congratulations! Your mobile number has won £1000 in the UK National Lottery. Call 90210 now
ham,"I'm running a bit late, be there in 15 minutes"
spam,"Click here to activate your FREE designer handbag subscription, offer valid for 1900123456 hours only"
ham,Reminder: Your dentist appointment is on Saturday at 9am
spam,Your Amazon order could not be delivered. Confirm your address at bit.ly/free-gift to reschedule
ham,I updated the spreadsheet with the latest numbers
spam,"FREE entry into our $500 prize draw! Text WIN to 07781234567 now, limited time offer"
ham,Just wanted to check if you got home safe
ham,Happy birthday! Hope you have a wonderful day
spam,"IRS NOTICE: YOU OWE BACK TAXES. AVOID ARREST, CALL 09061234567 IMMEDIATELY TO SETTLE"
spam,You have an unclaimed insurance payout of $5000. Contact 90210 today before it expires
spam,Your PayPal account has unusual activity. Verify now at www.claim-prize.com or it will be locked
ham,The meeting has been rescheduled to 9am on Sunday
ham,"Thanks for the birthday wishes, means a lot to me"
spam,"FREE entry into our $10000 prize draw! Text WIN to 90210 now, limited time offer"
ham,Your package was delivered to the front desk this morning
ham,"Thanks for your help earlier, really appreciate it"
spam,"URGENT: We tried to contact you today, please call 07781234567 regarding your unclaimed refund of $100"
ham,Just wanted to check if you got home safe
ham,Just wanted to check if you got home safe
ham,"The weather looks great this weekend, perfect for a hike"
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 07781234567 immediately to settle"
ham,Can you review my code before I push it to production?
ham,Reminder: Your dentist appointment is on Monday at 6:45pm
spam,Hurry! Only a few TV left in stock at 80% off. Order now at www.unlock-account.co
ham,Can you review my code before I push it to production?
spam,"Claim your FREE gaming laptop now! No purchase necessary, just click secure-verify-account.com and enter your details !!!"
ham,"I'm running a bit late, be there in 15 minutes"
spam,"Double your money in 24 hours! Guaranteed returns, invest now at bit.ly/free-gift !!!"
ham,Let me know if you need anything else from me for the report
ham,"The flight got delayed by an hour, landing around 5pm"
spam,"Claim your FREE iPhone 15 now! No purchase necessary, just click www.claim-prize.com and enter your details !!!"
ham,"The weather looks great this weekend, perfect for a hike"
ham,"Thanks for the birthday wishes, means a lot to me"
spam,You have 1 new voicemail regarding your loan approval of $2500. Call 09061234567 immediately
spam,Hurry! Only a few MacBook Pro left in stock at 80% off. Order now at www.claim-prize.com !!!
ham,I updated the spreadsheet with the latest numbers
ham,Are you free to talk on the phone for a few minutes?
ham,"Let's grab coffee sometime next week, I'm free after 9am"
ham,Are you free to talk on the phone for a few minutes?
spam,"NEW MESSAGE WAITING! SOMEONE HAS A CRUSH ON YOU, FIND OUT WHO AT BIT.LY/FREE-GIFT NOW !!!"
spam,"Double your money in 24 hours! Guaranteed returns, invest now at www.unlock-account.co"
spam,You've qualified for a government grant of $10000. Claim it now by calling 1900123456
ham,"I'm running a bit late, be there in 15 minutes"
ham,"I finished the project, sending you the files now"
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,"The flight got delayed by an hour, landing around 2pm"
ham,Happy anniversary! Wishing you both many more happy years
ham,Can you review my code before I push it to production?
spam,"Double your money in 24 hours! Guaranteed returns, invest now at www.winbig-now.net !!!"
spam,"Click here to activate your FREE gift card subscription, offer valid for 08000112233 hours only"
ham,"Great job on the presentation today, the team loved it"
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 90210 immediately to settle"
spam,You are pre-approved for a $100 loan with 0% interest! Apply now at www.claim-prize.com
ham,"Thanks for your help earlier, really appreciate it"
ham,Are you free to talk on the phone for a few minutes?
ham,"I'll pick up the kids from school today, no need to worry"
ham,"Just checking in, how did the interview go?"
spam,"New message waiting! Someone has a crush on you, find out who at www.winbig-now.net now !!!"
ham,"I loved the movie we watched last night, we should go again"
ham,"Hey, are we still on for lunch tomorrow at 2pm?"
ham,"I loved the movie we watched last night, we should go again"
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Can you send me the report before noon today? Thanks!
spam,Your PayPal account has unusual activity. Verify now at http://free-cash-now.info or it will be locked !!!
ham,"Mom said dinner is ready, come down when you can"
spam,URGENT! Your account has been suspended. Verify your details immediately at www.winbig-now.net to avoid closure
ham,Can you call me back when you get a chance?
spam,Congratulations! You have WON a designer handbag worth $2500. Claim now by clicking secure-verify-account.com !!!
ham,"I'll pick up the kids from school today, no need to worry"
ham,"Just checking in, how did the interview go?"
ham,"I'm running a bit late, be there in 15 minutes"
spam,WINNER!! As a valued network customer you have been selected to receive a $250 prize reward
ham,The meeting has been rescheduled to noon on Sunday
spam,WINNER!! As a valued network customer you have been selected to receive a $250 prize reward !!!
ham,Reminder: Your dentist appointment is on Saturday at 10am
ham,"Great job on the presentation today, the team loved it"
ham,Reminder: Your dentist appointment is on Sunday at 5pm
ham,"I loved the movie we watched last night, we should go again"
ham,"Thanks for your help earlier, really appreciate it"
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 07781234567 immediately to settle !!!"
ham,"Just checking in, how did the interview go?"
ham,Can we catch up this weekend? It's been a while
ham,"Thanks for your help earlier, really appreciate it"
spam,Act now! This exclusive gaming laptop offer expires in 24 hours. Visit http://free-cash-now.info for instant access
ham,Reminder: Your dentist appointment is on Sunday at 3:30pm
ham,Happy birthday! Hope you have a wonderful day
spam,"Get rich quick! Earn $1000 per week working from home, no experience needed, click bit.ly/free-gift !!!"
ham,I updated the spreadsheet with the latest numbers
ham,Can you send me the report before 2pm today? Thanks!
ham,"The flight got delayed by an hour, landing around 3:30pm"
ham,"The flight got delayed by an hour, landing around 3:30pm"
ham,"Mom said dinner is ready, come down when you can"
spam,Your PayPal account has unusual activity. Verify now at secure-verify-account.com or it will be locked
ham,Reminder: Your dentist appointment is on Tuesday at 9am
ham,I updated the spreadsheet with the latest numbers
spam,You have an unclaimed insurance payout of $2500. Contact 1900123456 today before it expires
ham,Can you send me the report before 5pm today? Thanks!
ham,"Great job on the presentation today, the team loved it"
spam,"Claim your FREE designer handbag now! No purchase necessary, just click www.winbig-now.net and enter your details"
ham,Let me know if you need anything else from me for the report
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 90210 immediately to settle"
ham,The meeting has been rescheduled to 6:45pm on Monday
spam,Congratulations! Your mobile number has won £2500 in the UK National Lottery. Call 07781234567 now !!!
ham,"The flight got delayed by an hour, landing around 11:15am"
ham,"Thanks for your help earlier, really appreciate it"
ham,Happy birthday! Hope you have a wonderful day
spam,You've qualified for a government grant of $500. Claim it now by calling 08000112233
ham,I updated the spreadsheet with the latest numbers
ham,"The flight got delayed by an hour, landing around 10am"
spam,You have been selected to receive a FREE designer handbag! Reply YES to claim your gift now
ham,"I finished the project, sending you the files now"
ham,Let me know if you need anything else from me for the report
ham,Can you send me the report before 3:30pm today? Thanks!
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 90210 immediately to settle"
spam,You are pre-approved for a $1000 loan with 0% interest! Apply now at bit.ly/free-gift
ham,Can you review my code before I push it to production?
ham,"Hey, are we still on for lunch tomorrow at 11:15am?"
ham,"Thanks for your help earlier, really appreciate it"
spam,LIMITED OFFER: Get 90% discount on PlayStation 5 today only! Click http://free-cash-now.info before it expires !!!
spam,URGENT! Your account has been suspended. Verify your details immediately at bit.ly/free-gift to avoid closure !!!
ham,"The flight got delayed by an hour, landing around noon"
spam,WINNER!! As a valued network customer you have been selected to receive a $500 prize reward
ham,Can you call me back when you get a chance?
ham,Reminder: Your dentist appointment is on Tuesday at 11:15am
ham,"Thanks for your help earlier, really appreciate it"
spam,Your PayPal account has unusual activity. Verify now at www.winbig-now.net or it will be locked
spam,Text STOP to unsubscribe or reply YES to claim your $500 cash prize instantly
ham,"Thanks for dinner last night, it was really nice catching up"
spam,Make $1000 a day trading crypto with our secret system! Sign up free at www.winbig-now.net
ham,"I loved the movie we watched last night, we should go again"
spam,Your PayPal account has unusual activity. Verify now at www.claim-prize.com or it will be locked
ham,Happy anniversary! Wishing you both many more happy years
spam,"Click here to activate your FREE smart watch subscription, offer valid for 1900123456 hours only"
spam,Your PayPal account has unusual activity. Verify now at http://free-cash-now.info or it will be locked
ham,"The flight got delayed by an hour, landing around 3:30pm"
ham,"Hey, are we still on for lunch tomorrow at 6:45pm?"
spam,Your package is on hold due to unpaid customs fee of $50. Pay now at www.claim-prize.com !!!
ham,The meeting has been rescheduled to 10am on Wednesday
ham,Are you free to talk on the phone for a few minutes?
spam,Your Amazon order could not be delivered. Confirm your address at bit.ly/free-gift to reschedule
spam,Act now! This exclusive voucher offer expires in 24 hours. Visit bit.ly/free-gift for instant access
ham,Can we catch up this weekend? It's been a while
ham,Reminder: Your dentist appointment is on Monday at 11:15am
ham,"Let's grab coffee sometime next week, I'm free after 10am"
ham,"Thanks for dinner last night, it was really nice catching up"
ham,"See you at the gym later, same time as usual?"
ham,"Let's grab coffee sometime next week, I'm free after noon"
spam,Hurry! Only a few holiday package left in stock at 80% off. Order now at www.claim-prize.com
spam,"New message waiting! Someone has a crush on you, find out who at www.unlock-account.co now"
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,Don't forget to pick up milk on your way home
spam,LIMITED OFFER: Get 90% discount on voucher today only! Click www.unlock-account.co before it expires !!!
ham,"Thanks for the birthday wishes, means a lot to me"
ham,Can you review my code before I push it to production?
ham,Happy birthday! Hope you have a wonderful day
ham,Are you free to talk on the phone for a few minutes?
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 08000112233 immediately to settle !!!"
ham,"See you at the gym later, same time as usual?"
spam,YOU HAVE BEEN SELECTED TO RECEIVE A FREE GAMING LAPTOP! REPLY YES TO CLAIM YOUR GIFT NOW !!!
ham,"Great job on the presentation today, the team loved it"
spam,Text STOP to unsubscribe or reply YES to claim your $1000 cash prize instantly
ham,"I'll pick up the kids from school today, no need to worry"
spam,Text STOP to unsubscribe or reply YES to claim your $10000 cash prize instantly !!!
ham,Don't forget to pick up milk on your way home
ham,Reminder: Your dentist appointment is on Saturday at noon
ham,"See you at the gym later, same time as usual?"
ham,Are you free to talk on the phone for a few minutes?
spam,Congratulations! You have WON a cash prize worth $100. Claim now by clicking http://free-cash-now.info
spam,Act now! This exclusive gaming laptop offer expires in 24 hours. Visit www.claim-prize.com for instant access
spam,You have an unclaimed insurance payout of $250. Contact 1900123456 today before it expires
ham,Your package was delivered to the front desk this morning
spam,Your package is on hold due to unpaid customs fee of $100. Pay now at www.winbig-now.net
ham,"The flight got delayed by an hour, landing around 9am"
spam,FINAL NOTICE: Your car warranty is about to expire. Call 08000112233 now to renew and save
ham,"Hey, are we still on for lunch tomorrow at 9am?"
ham,Can you send me the report before 6:45pm today? Thanks!
ham,I updated the spreadsheet with the latest numbers
spam,Congratulations! You have WON a MacBook Pro worth $500. Claim now by clicking http://free-cash-now.info
spam,Hurry! Only a few smart watch left in stock at 80% off. Order now at www.winbig-now.net !!!
ham,"The flight got delayed by an hour, landing around 5pm"
ham,Don't forget to pick up milk on your way home
spam,Make $1000 a day trading crypto with our secret system! Sign up free at secure-verify-account.com
ham,"The flight got delayed by an hour, landing around 10am"
ham,"The weather looks great this weekend, perfect for a hike"
ham,Can you send me the report before noon today? Thanks!
spam,You are pre-approved for a $50 loan with 0% interest! Apply now at www.winbig-now.net
ham,Just wanted to check if you got home safe
ham,Don't forget to pick up milk on your way home
ham,"Mom said dinner is ready, come down when you can"
spam,You have an unclaimed insurance payout of $500. Contact 90210 today before it expires
ham,"I finished the project, sending you the files now"
ham,Just wanted to check if you got home safe
ham,Your package was delivered to the front desk this morning
ham,"I finished the project, sending you the files now"
ham,"Hey, are we still on for lunch tomorrow at 11:15am?"
ham,"Great job on the presentation today, the team loved it"
ham,"Just checking in, how did the interview go?"
spam,"Get rich quick! Earn $50 per week working from home, no experience needed, click secure-verify-account.com"
ham,Can you review my code before I push it to production?
spam,YOUR PACKAGE IS ON HOLD DUE TO UNPAID CUSTOMS FEE OF $50. PAY NOW AT WWW.CLAIM-PRIZE.COM
ham,Happy birthday! Hope you have a wonderful day
spam,"Get rich quick! Earn $250 per week working from home, no experience needed, click www.unlock-account.co"
ham,"Great job on the presentation today, the team loved it"
ham,Reminder: Your dentist appointment is on Saturday at 2pm
ham,Happy anniversary! Wishing you both many more happy years
spam,"Dear customer, your bank account needs verification. Click www.unlock-account.co or your card will be blocked !!!"
spam,"Dear customer, your bank account needs verification. Click www.unlock-account.co or your card will be blocked !!!"
spam,"Click here to activate your FREE smart watch subscription, offer valid for 90210 hours only !!!"
ham,Your package was delivered to the front desk this morning
ham,"Mom said dinner is ready, come down when you can"
spam,CONGRATULATIONS! YOU'VE BEEN CHOSEN FOR A FREE CRUISE TO THE BAHAMAS. CALL 08000112233 TO CLAIM
ham,"I loved the movie we watched last night, we should go again"
ham,"Great job on the presentation today, the team loved it"
ham,"See you at the gym later, same time as usual?"
ham,"The flight got delayed by an hour, landing around 5pm"
ham,Your package was delivered to the front desk this morning
ham,Don't forget to pick up milk on your way home
spam,Your PayPal account has unusual activity. Verify now at www.unlock-account.co or it will be locked
spam,FINAL NOTICE: Your car warranty is about to expire. Call 09061234567 now to renew and save !!!
ham,Don't forget to pick up milk on your way home
ham,"Let's grab coffee sometime next week, I'm free after 2pm"
ham,Are you free to talk on the phone for a few minutes?
ham,Happy anniversary! Wishing you both many more happy years
ham,Just wanted to check if you got home safe
spam,"HOT SINGLES IN YOUR AREA ARE WAITING TO CHAT WITH YOU! CLICK WWW.WINBIG-NOW.NET NOW, 100% FREE !!!"
ham,Happy birthday! Hope you have a wonderful day
ham,Don't forget to pick up milk on your way home
ham,Happy birthday! Hope you have a wonderful day
ham,"Thanks for dinner last night, it was really nice catching up"
spam,Hurry! Only a few TV left in stock at 80% off. Order now at http://free-cash-now.info
spam,"Get rich quick! Earn $10000 per week working from home, no experience needed, click bit.ly/free-gift !!!"
ham,"I loved the movie we watched last night, we should go again"
ham,"Hey, are we still on for lunch tomorrow at 6:45pm?"
ham,Happy birthday! Hope you have a wonderful day
ham,"Thanks for the birthday wishes, means a lot to me"
spam,YOU HAVE BEEN SELECTED TO RECEIVE A FREE CASH PRIZE! REPLY YES TO CLAIM YOUR GIFT NOW !!!
spam,Act now! This exclusive voucher offer expires in 24 hours. Visit www.winbig-now.net for instant access !!!
ham,"I'm running a bit late, be there in 15 minutes"
spam,URGENT! Your account has been suspended. Verify your details immediately at http://free-cash-now.info to avoid closure
ham,"Let's grab coffee sometime next week, I'm free after 5pm"
ham,Can you send me the report before 5pm today? Thanks!
ham,"Thanks for dinner last night, it was really nice catching up"
ham,The meeting has been rescheduled to 6:45pm on Saturday
ham,"I loved the movie we watched last night, we should go again"
ham,Reminder: Your dentist appointment is on Tuesday at 9am
ham,"I'll pick up the kids from school today, no need to worry"
spam,Act now! This exclusive MacBook Pro offer expires in 24 hours. Visit www.winbig-now.net for instant access
ham,Reminder: Your dentist appointment is on Thursday at 3:30pm
spam,"Dear customer, your bank account needs verification. Click secure-verify-account.com or your card will be blocked"
spam,"Hot singles in your area are waiting to chat with you! Click www.unlock-account.co now, 100% free !!!"
ham,Are you free to talk on the phone for a few minutes?
spam,Congratulations! Your mobile number has won £250 in the UK National Lottery. Call 09061234567 now
ham,I updated the spreadsheet with the latest numbers
ham,Let me know if you need anything else from me for the report
ham,Can you call me back when you get a chance?
spam,WINNER!! As a valued network customer you have been selected to receive a $100 prize reward
spam,You've qualified for a government grant of $5000. Claim it now by calling 1900123456 !!!
ham,Happy anniversary! Wishing you both many more happy years
ham,Happy anniversary! Wishing you both many more happy years
ham,"Let's grab coffee sometime next week, I'm free after 10am"
ham,Can you review my code before I push it to production?
ham,"Just checking in, how did the interview go?"
spam,"URGENT: We tried to contact you today, please call 1900123456 regarding your unclaimed refund of $50"
ham,Are you free to talk on the phone for a few minutes?
ham,Your package was delivered to the front desk this morning
spam,You have 1 new voicemail regarding your loan approval of $250. Call 1900123456 immediately
spam,Congratulations! Your mobile number has won £2500 in the UK National Lottery. Call 1900123456 now !!!
spam,You have an unclaimed insurance payout of $10000. Contact 90210 today before it expires !!!
spam,"Get rich quick! Earn $2500 per week working from home, no experience needed, click secure-verify-account.com !!!"
spam,"Dear customer, your bank account needs verification. Click bit.ly/free-gift or your card will be blocked"
ham,Can we catch up this weekend? It's been a while
spam,"URGENT: We tried to contact you today, please call 90210 regarding your unclaimed refund of $500"
ham,"I'm running a bit late, be there in 15 minutes"
ham,"I'm running a bit late, be there in 15 minutes"
ham,Happy anniversary! Wishing you both many more happy years
spam,"New message waiting! Someone has a crush on you, find out who at http://free-cash-now.info now"
ham,"The weather looks great this weekend, perfect for a hike"
ham,"Thanks for the birthday wishes, means a lot to me"
spam,Your package is on hold due to unpaid customs fee of $1000. Pay now at bit.ly/free-gift
spam,Congratulations! You have WON a MacBook Pro worth $10000. Claim now by clicking secure-verify-account.com
ham,"Thanks for dinner last night, it was really nice catching up"
ham,The meeting has been rescheduled to 10am on Friday
ham,Let me know if you need anything else from me for the report
ham,"Let's grab coffee sometime next week, I'm free after noon"
ham,"I finished the project, sending you the files now"
spam,"Claim your FREE TV now! No purchase necessary, just click www.unlock-account.co and enter your details"
